idTitre:ID,artiste,nomChanson,:LABEL
t120,Christophe Maé,Un peu de blues,Titre
t121,Christophe Maé,Ca marche,Titre
t122,Christophe Maé,Je me lâche,Titre
t123,Christophe Maé,Parce qu’on ne sait jamais,Titre
t124,Christophe Willem,Double je,Titre
t125,Christophe Willem,Jacques a dit,Titre
t126,C Jérome,Et tu danses avec lui,Titre
t127,C Jérome,Kiss Me,Titre
t128,C Jérome,C’est moi,Titre
t129,Claude Barzotti,Le rital,Titre
t130,Claude François, Marche tout droit,Titre
t131,Claude François,Bélinda,Titre
t132,Claude François,C’est la même chanson,Titre
t133,Claude François,Le téléphone pleure,Titre
t134,Claude François,J’attendrai,Titre
t135,Claude François,Même si tu revenais,Titre
t136,Claude François,Comme d'habitude,Titre
t137,Claude François,Alexandrie Alexandra,Titre
t138,Claude François,Le lundi au soleil,Titre
t139,Claude François,Si j'avais un marteau,Titre
t140,Claude François,Je vais à Rio,Titre
t141,Claude François,Chanson populaire,Titre
t142,Claude François,Magnolia forever,Titre
t143,Claude François,Belles belles belles,Titre
t144,Claude François,Y’a le printemps qui chante,Titre
t145,Claude François,Cette année-là,Titre
t146,Claude Nougaro,Tu verras,Titre
t147,Claude Nougaro,Armstrong,Titre
t148,Claude Nougaro,Nougayork,Titre
t149,Claude Nougaro,Le jazz et la java,Titre
t150,Cœur de Pirate,Comme des enfants,Titre
t151,Cœur de Pirate,Adieu,Titre
t152,Cœur de Pirate,Ensemble,Titre
t153,Cœur de Pirate,Golden Baby,Titre
t154,Cœur de Pirate & Julien Doré,Pour un infidèle,Titre
t155,Collectif Paris Africa,Des ricochets,Titre
t156,Cookie Dingler,Femme libérée ,Titre
t157,Corynne Charby,Boule de Flipper,Titre
t158,Dalida,Laissez-moi danser,Titre
t159,Dalida,J’attendrai,Titre
t160,Dalida,Gigi L’amoroso,Titre
t161,Dalida,Itsi bitsi petit bikini,Titre
t162,Dalida,Salma Ya Salama,Titre
t163,Dalida,Mourir sur scène,Titre
t164,Dalida,Bambino,Titre
t165,Dalida,Le temps de fleurs,Titre
t166,Dalida & Alain Delon,Paroles paroles,Titre
t167,Daniel Balavoine,Lucie,Titre
t168,Daniel Balavoine,Je ne suis pas un héros,Titre
t169,Daniel Balavoine,Le chanteur,Titre
t170,Daniel Balavoine,La vie ne m'apprend rien,Titre
t171,Daniel Balavoine,L'Aziza,Titre
t172,Daniel Balavoine,Tous les cris les SOS,Titre
t173,Daniel Balavoine,Vivre ou survivre,Titre
t174,Daniel Balavoine,Mon fils ma bataille,Titre
t175,Daniel Balavoine,Aimer est plus fort que d’être aimer,Titre
t176,Daniel Balavoine,Sauver l’amour,Titre
t177,Daniel Balavoine,Dieu que c’est beau,Titre
t178,Daniel Guichard,Le gitan,Titre
t179,Daniel Guichard,Mon vieux,Titre
t180,Daniel Guichard,Faut pas pleurer comme ça,Titre
t181,Daniel Lavoie,Ils s’aiment ,Titre
t182,Daniel Levi & Karine Costa,Ce rêve bleu,Titre
t183,Dany Brillant,Quand je vois tes yeux,Titre
t184,Dany Brillant,Suzette,Titre
t185,Dany Brillant,Y’a que les filles qui m’intéressent,Titre
t186,Dany Brillant,Une fille comme ça,Titre
t187,Dany Brillant,Viens à St Germain,Titre
t188,Dave,Mon cœur est malade,Titre
t189,Dave,Dansez maintenant,Titre
t190,Dave,Vanina,Titre
t191,Dave,Du côté de chez Swann,Titre
t192,David et Jonathan,Est-ce que tu viens pour les vacances,Titre
t193,David Hallyday,Tu ne m’as pas laissé le temps ,Titre
t194,David Martial,Célimène,Titre
t195,Début de Soirée,Nuit de folie,Titre
t196,Demis Roussos,Quand je t’aime,Titre
t197,Désirless,Voyage Voyage,Titre
t198,Diam’s,DJ,Titre
t199,Diane Dufresne,J’ai rencontré l’homme de ma vie,Titre
t200,Diane Tell,Si j’étais un homme,Titre
t201,Didier Barbelivien,Elle,Titre
t202,Dis l’Heure du Zouk,Laisse parler les gens,Titre
t203,Dorothé,Allo Allo monsieur l’ordinateur,Titre
t204,Eddy Mitchell,Pas de boogie-woogie,Titre
t205,Eddy Mitchell,C’est un rocker,Titre
t206,Eddy Mitchell,Sur la route de Memphis,Titre
t207,Eddy Mitchell,Rio Grande,Titre
t208,Eddy Mitchell,Il ne rentre pas ce soir,Titre
t209,Eddy Mitchell,La dernière séance,Titre
t210,Eddy Mitchell,C’est la vie mon chéri,Titre
